,customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_result
2715,07d3968109378e8483932cf70a79eefd,314,2,147.52,2,1,4,214,Hibernating
2775,07ffdcec270d2300c298af875cdc9447,326,2,60.11,2,1,2,212,Hibernating
2788,080933fe6f300949c6b48b00732d5e97,304,2,77.57000000000001,2,1,3,213,Hibernating
2810,08134f392c78e4c4cc9ba45e21a542a2,64,2,129.77,5,1,4,514,New customers
2817,081a2d41949e652a50988fd39febb4a8,219,2,192.44,3,1,5,315,About to sleep
2826,082494e1ad97fbe3fd2efb729b24e252,161,3,55.71,4,1,2,412,Promising
3034,08d19de4f7caa5e58b233fa6b9f4d3a8,351,7,134.57999999999998,2,4,4,244,At risk
3058,08e47e3be967b5e1881a587720b8a005,450,2,41.24,1,1,1,111,Hibernating
3124,09083a83baee60ac3e4a9a3b43a2df49,292,2,77.57,3,1,2,312,About to sleep
3185,09339f204d1b627af024216de772ccce,62,3,27.299999999999997,5,1,1,511,New customers
3189,0935c74ff02b70ca566f7252cc8fcca5,330,2,37.11,2,1,1,211,Hibernating
3208,0941cc6c82ccb3ad29471a38e6a8dc04,140,2,58.61,4,1,2,412,Promising
3264,09703c9d52696df6b0c0f4dd1c8729f8,532,2,78.6,1,1,3,113,Hibernating
3306,099197f5b3af6c03f208f70f62df794e,235,6,89.27,3,4,3,343,Loyal customers
3319,0999d46493c50913867f47b39d5a1114,363,2,32.63,2,1,1,211,Hibernating
3378,09c682ef897935e677a0996cfe2008f3,466,2,39.0,1,1,1,111,Hibernating
3386,09ca1779c44a99be8f22fb0acfd3eefd,206,2,205.52999999999997,3,1,5,315,About to sleep
3407,09d9f8180c32474c99e6d50b0400687b,351,2,174.72,2,1,4,214,Hibernating
3451,09fac85d71438b3400e2dfb08689b649,180,2,29.549999999999997,4,1,1,411,Promising
3480,0a0aa6d8a3c7535375d6fd935ae19480,192,2,51.349999999999994,4,1,1,411,Promising
3499,0a1ab2962856f2d5008692f7d6e22ce2,19,2,37.36,5,1,1,511,New customers
3525,0a2e444bd70cfacf79d005476d8936b5,135,2,192.89,4,1,5,415,Promising
3571,0a53171e0b4c26a01456fa4defeac4d5,167,2,236.74,4,1,5,415,Promising
3616,0a772b10ef12b6b87ccb345a44eab70e,22,2,66.93,5,1,2,512,New customers
3628,0a80080a56579c6f51865b39c589b3b3,298,2,105.18,2,1,3,213,Hibernating
3643,0a87bd2ceb3e27e223105f958aecbce7,134,2,63.279999999999994,4,1,2,412,Promising
3670,0a99af6e6eaf8487f52d2d02212ff2aa,434,2,43.0,1,1,1,111,Hibernating
3673,0a9b104fa661da38bed249cddffb4ce3,314,2,238.66,2,1,5,215,Hibernating
3710,0ab91423d1e877aec33c6da6e9b5509c,459,3,88.93,1,1,3,113,Hibernating
3724,0ac397ec20446825a099a646258cbf83,228,4,102.64,3,2,3,323,About to sleep
3728,0ac60131bb66f24dcdcbbd6cc502c0f6,182,2,212.57999999999998,4,1,5,415,Promising
3762,0addd045c89ed918a0afcca4385c259f,438,3,142.27,1,1,4,114,Hibernating
3769,0ae25c813041ba75ff447da9a7b449ff,508,2,119.51,1,1,4,114,Hibernating
3804,0b0021fc48717a02bcbd22404ed2f1f3,574,2,91.84,1,1,3,113,Hibernating
3822,0b0e8ff0c3d490e69901bd6f0efa190a,0,3,58.36,5,1,2,512,New customers
3832,0b163d4fe7d6acebdcdcae6f4c0ca8ee,171,3,76.29,4,1,2,412,Promising
3869,0b3295ce662be865aa56d5c7f78601ef,362,2,83.22999999999999,2,1,3,213,Hibernating
3870,0b32a6f8b47212b01768e04e8a3bcbca,57,2,52.629999999999995,5,1,2,512,New customers
3885,0b3d49ee61dd14be80fe19091b5b4b6b,453,2,34.68,1,1,1,111,Hibernating
3893,0b451ba5ecdeaf9cb93c0a67c92c29c8,326,2,64.0,2,1,2,212,Hibernating
3951,0b712ffa093a053e8b8de49f7dc88ba1,54,2,39.379999999999995,5,1,1,511,New customers
4000,0b94e6ad540003cdc27b09854bd6f76f,25,2,75.17,5,1,2,512,New customers
4006,0b990a3550b758bda642b10c7ff76cf0,466,2,163.69,1,1,4,114,Hibernating
4028,0bab2439d75a6b9559f2d49f3e499faa,103,2,151.32,5,1,4,514,New customers
4044,0bb79aff5bf618a6f3bf91fd9049b9d8,571,4,159.99,1,2,4,124,Hibernating
4046,0bb834758b9161844659f3d641da02af,380,3,68.14,2,1,2,212,Hibernating
4094,0be23035ad10fedb829249b612f907cc,123,3,52.14,4,1,2,412,Promising
4106,0be948a55db2c18553bc293d52ca6c61,274,2,35.0,3,1,1,311,About to sleep
4115,0bf19317b1830a69e55b40710576aa7a,517,2,28.86,1,1,1,111,Hibernating
4219,0c3f432e2cf7ebb3a2cd874a8da89541,86,2,48.22,5,1,1,511,New customers
4238,0c4a0b8d4ec522828d3c1cb06797222d,142,2,162.03,4,1,4,414,Promising
4259,0c5eb0e9e15cf4e836c7188ece714fcc,371,2,329.0,2,1,5,215,Hibernating
4270,0c6473e9ab7d84f5b34b6aceaebd024a,134,2,68.95,4,1,2,412,Promising
4317,0c874ea1ad6b13fb0eb47582136b6b17,327,2,155.73,2,1,4,214,Hibernating
4378,0cba5ae69e1d511fdf214aa4ab92740b,262,2,94.31,3,1,3,313,About to sleep
4447,0cf80359c4d104530c6c2274d2263ac9,118,2,55.22,4,1,2,412,Promising
4483,0d10f3ce86eae5da478b5475eb2f03bd,362,2,46.0,2,1,1,211,Hibernating
4486,0d14d28bc941474750feb2e030e54460,310,2,290.65999999999997,2,1,5,215,Hibernating
4489,0d1679b303ad5d2c0cb3e51bc9c9f643,516,6,64.42,1,4,2,142,At risk
4501,0d1c9bf3e851a0db291a9edd754e46a7,316,2,124.97,2,1,4,214,Hibernating
4512,0d25047b8fa2245d9bd6b2901623460e,67,2,58.46,5,1,2,512,New customers
4530,0d34797f478a608695b3635dfaf86733,78,2,375.72999999999996,5,1,5,515,New customers
4549,0d41b4a10415bd94fbc317599df557c4,194,2,112.03,4,1,3,413,Promising
4571,0d50a5c726a7cef6fa42fedead26a863,35,2,105.85,5,1,3,513,New customers
4620,0d7b40f01565cfa9b39df48d77c4367c,42,2,103.7,5,1,3,513,New customers
4622,0d7bb2edfc4bde37fbbb49b06fa0f579,304,2,85.14999999999999,2,1,3,213,Hibernating
4660,0d96bcb52476d4965d0b50080cd9a443,399,2,62.739999999999995,2,1,2,212,Hibernating
4663,0d993384667c2d9151c18374570d286f,447,2,61.01,1,1,2,112,Hibernating
4702,0db3d540da7eb431e5c5969fca57ca07,90,2,380.2,5,1,5,515,New customers
4703,0db3ed422aa8051a0bad010c30e5505b,33,2,132.8,5,1,4,514,New customers
4713,0dbeefcc8215e4d6b6ee3ec0c8a2f222,206,6,148.15,3,4,4,344,Loyal customers
4750,0dd783efab8da6e6c9b27fc94f6dbb8b,354,2,131.34,2,1,4,214,Hibernating
4782,0df6e83f2e878145577f55d2c0bba916,285,2,35.24,3,1,1,311,About to sleep
4783,0df7ed475af4782bbba1363517a9ec16,116,2,56.129999999999995,4,1,2,412,Promising
4836,0e240f6e253b7d7646700ce3b28fe413,356,6,441.05,2,4,5,245,At risk
4904,0e50c6c7561c15b7879e4673e876fae3,461,2,161.65,1,1,4,114,Hibernating
4931,0e681bde5fba98aac2a57c904d4401c9,142,2,145.75,4,1,4,414,Promising
4972,0e848c477bf820b51d1c9dbe857b5a60,246,2,124.5,3,1,4,314,About to sleep
5008,0e9d153de61896911c7d236b8a6c1886,153,4,33.190000000000005,4,2,1,421,Potential loyalists
5010,0e9eb3e3b8e61f91e5dc792fcddb8dd3,271,2,31.34,3,1,1,311,About to sleep
5046,0ebb6d45fdc7c49738cd93b0cd95f123,270,2,101.72999999999999,3,1,3,313,About to sleep
5073,0ed1c626189e974a2ba199c5f7c23bbc,365,2,54.0,2,1,2,212,Hibernating
5138,0efd4ac57927695b9fbfbd8780d70f23,193,2,212.12,4,1,5,415,Promising
5175,0f1c14d9a7aefb667c13c461122de629,336,2,421.2,2,1,5,215,Hibernating
5204,0f3179de38741efcde57ff90a832e7b8,391,2,44.0,2,1,1,211,Hibernating
5267,0f5eb5cde12ff4b4d609d8c4fb4e20a0,153,2,339.79,4,1,5,415,Promising
5285,0f6ae9992fe5367634017e013374aee4,54,2,74.51,5,1,2,512,New customers
5292,0f6ed132464fa43523a9bc602da44a85,160,2,92.83000000000001,4,1,3,413,Promising
5296,0f71a0b83b78a05118efc4aae3c2a774,42,4,129.86,5,2,4,524,Potential loyalists
5396,0fbb00ce9569487ef8b95b9ec0b8e118,513,2,92.72,1,1,3,113,Hibernating
5431,0fce8fa7269758a9711ebafed7c8bf65,468,11,77.07,1,5,2,152,Can't lose them
5441,0fd30fd57ed5a3df87af7a769f901f46,66,2,37.24,5,1,1,511,New customers
5450,0fd965d968903f6f1179bfa430d667ae,365,2,81.89,2,1,3,213,Hibernating
5472,0fecb7c18bdbddc503d3d332c6ef1437,197,2,73.15,4,1,2,412,Promising
5544,102a23c6841127cf625296ef67d5f79c,419,3,227.27,1,1,5,115,Hibernating
5558,103224917fe72e5c19889715d69865cb,358,2,100.34,2,1,3,213,Hibernating
5611,105788b61e5c818bb354138f728cc37c,308,2,162.05,2,1,4,214,Hibernating
5633,1067b68fcbcce6d777e098d24117941e,191,2,37.769999999999996,4,1,1,411,Promising
5637,106a2d44b8756af49c5c3299fb8001f1,318,7,264.53,2,4,5,245,At risk
5666,1084533b0217e620e4b6e79b90e7a077,217,5,54.79,3,3,2,332,Potential loyalists
5669,10855794718e285d72c17edbfc0e38e6,275,2,135.76999999999998,3,1,4,314,About to sleep
5685,109425d115ed297d8077ab9f5d45c8b1,297,2,73.84,2,1,2,212,Hibernating
5741,10b7a2a6d7bb0cdf36516a6e6671e219,214,2,71.51,3,1,2,312,About to sleep
5780,10ce609a34904ea87a4254e96b05dcf8,308,2,94.4,2,1,3,213,Hibernating
5785,10d2967d139449709e9f095b22b0f1d0,257,2,212.02,3,1,5,315,About to sleep
5803,10e212c9f60b48ec641783c64c05b87b,313,2,478.78,2,1,5,215,Hibernating
5828,10f2f23370c003742306e23361255df0,166,2,31.29,4,1,1,411,Promising
5833,10f9c2fdafc9fbee2c0207f034f6edc7,163,2,168.72,4,1,4,414,Promising
5877,1118a63d07992f9327db7bf2e438d697,169,2,57.83,4,1,2,412,Promising
5955,114ea8d0bbcf1c2c689ebe02cf3e8ec7,471,2,207.65,1,1,5,115,Hibernating
5970,11593c31e67cba57ac694b45f7728974,194,2,141.32999999999998,4,1,4,414,Promising
5977,115eb2fbfc2d8446a2a6d38a0d800c6a,278,2,261.15999999999997,3,1,5,315,About to sleep
6014,117c74aa6cd3541068f9c0915dd95fc0,533,2,37.42,1,1,1,111,Hibernating
6052,11943259dfd283f8c9495db75d4e56df,396,4,113.7,2,2,3,223,Hibernating
6082,11a8105af3ed32d4a92f696b33c7ca7a,317,3,74.07,2,1,2,212,Hibernating
6085,11ab17e4c92e820e3f148f8d420736b3,454,3,108.44,1,1,3,113,Hibernating
6122,11c897fd95b346aa239cb2b6401e73f3,189,2,73.16,4,1,2,412,Promising
6166,11e9daf0fd784f9c81aa95c868d18bf4,54,2,68.97,5,1,2,512,New customers
6176,11eee0e62a0b905cf878ff13c8aec4a0,154,2,154.96,4,1,4,414,Promising
6197,11ff39f6282e2a89f5c079a47af66743,356,4,36.01,2,2,1,221,Hibernating
6199,12002ccd72a0a43cf74c0a1def33df71,419,2,40.620000000000005,1,1,1,111,Hibernating
6203,12029efbcd83212db276db34e8d6f802,182,3,126.52,4,1,4,414,Promising
6216,120c8df146de37740fbd8d7dee9c0137,262,2,157.3,3,1,4,314,About to sleep
6221,120e1f31d01ac400b61e8f8a3cfb57c8,103,2,61.790000000000006,5,1,2,512,New customers
6229,1212da3795e784371c8305d0e0dae7f8,148,2,32.129999999999995,4,1,1,411,Promising
6293,1248e4a168a6a8319c2c7a043143c65d,77,2,128.57,5,1,4,514,New customers
6304,124c96fb17eb2fc7f1611d3ca83d11ea,12,2,172.04000000000002,5,1,4,514,New customers
6326,125ee1e307ef264c24976717cc30edd2,276,3,55.099999999999994,3,1,2,312,About to sleep
6328,12600e42ec40b51517d279c414d3bda8,136,2,43.22,4,1,1,411,Promising
6349,126e796f3f459d75233ffae11eda5001,505,11,137.48,1,5,4,154,Can't lose them
6509,12e5b6a1bdfead70fa5896471f3e2878,205,2,114.52,4,1,3,413,Promising
6574,1317dfa9a96a4af1ad9bf06a6f12f1f5,23,4,22.29,5,2,1,521,Potential loyalists
6602,13355f11c5197e83d423eaee3abe63d2,138,2,60.05,4,1,2,412,Promising
6632,13527074814c80fd3f739a54ee91672c,394,2,51.1,2,1,1,211,Hibernating
6639,1353b6db7e448ecfad1a4cd13b95f832,234,2,113.8,3,1,3,313,About to sleep
6676,136eb50222d7c7deea2340f2a7bba0ff,519,2,158.28,1,1,4,114,Hibernating
6712,138729be4db081ad246847b0e3b899a5,160,2,74.09,4,1,2,412,Promising
6724,138dc7414f14d963e93984a277f9d3e9,69,2,91.21,5,1,3,513,New customers
6743,139b25990a93de6dceaf6b7d5d8d4c3e,213,2,58.22,3,1,2,312,About to sleep
6751,13a094bf5c41e311945e058c7a2d8ef8,423,2,84.61,1,1,3,113,Hibernating
6767,13aa59158da63ba0e93ec6ac2c07aacb,337,19,205.74,2,5,5,255,Can't lose them
6803,13c2dbc76e00f0ef236e19d51354e90a,88,3,73.27000000000001,5,1,2,512,New customers
6834,13d6b87a3b1d1d4c6f0eceabeec65369,69,3,89.89,5,1,3,513,New customers
6880,13f6a00a74008c004462cf5c90e11f03,119,2,57.78,4,1,2,412,Promising
6907,140bc967eba0b06a0d1ce15242b1fe62,423,2,39.0,1,1,1,111,Hibernating
6956,14308d2303a3e2bdf4939b86c46d2679,531,2,84.32,1,1,3,113,Hibernating
6970,143fdaaf1a8b9e8905183ee2714d3647,274,3,51.89000000000001,3,1,1,311,About to sleep
6975,14425ff5b814c955a524faf453a68bfd,484,2,77.06,1,1,2,112,Hibernating
6991,144d6b2679193370edcdceae5c0a407b,8,2,381.63,5,1,5,515,New customers
6993,144f48b143d176dee413c191dfb62ae3,290,2,151.18,3,1,4,314,About to sleep
7006,1459b919586d464598d816e4163b19e3,206,2,186.26999999999998,3,1,5,315,About to sleep
7135,14b558f0e7224d69873f694dea6c7cd6,332,2,42.68,2,1,1,211,Hibernating
7198,14eade9f72fa9ae6c8d8b066d20d611c,293,2,61.05,3,1,2,312,About to sleep
7206,14ee461cb73062a37b46087e2e18d753,86,2,93.36999999999999,5,1,3,513,New customers
7214,14f3b4b8a869b608eaf1e27b92210e6e,419,2,122.25999999999999,1,1,4,114,Hibernating
7344,155314da9787559f5ca430c76dcb68fb,118,2,226.35,4,1,5,415,Promising
7351,155716e7d7dbee88852ff931b86889aa,162,9,189.07999999999998,4,5,5,455,Loyal customers
7352,1557244dadd25bbf0b7c24aa8c76cc2c,91,2,86.14,5,1,3,513,New customers
7363,15612247137c536251539392ed4e16c4,46,2,73.48,5,1,2,512,New customers
7425,158f500dc97199224f2b80572814646f,495,2,62.84,1,1,2,112,Hibernating
7444,159c51bd752b13a29b404e47af4252a4,229,2,158.11,3,1,4,314,About to sleep
7493,15baa4d1c9fd174d26e105980d24aeb9,351,2,85.16,2,1,3,213,Hibernating
7494,15bc30c2a95adb9d5fd1743773bec1a9,165,2,137.65,4,1,4,414,Promising
7551,15e68126961e816a65de6b9d19285142,391,2,204.49,2,1,5,215,Hibernating
7588,15fbfc3e6c62dc7cb6cf3a1587121051,161,2,41.03,4,1,1,411,Promising
7596,1601d0bf4dc5e44ceef3224280577bb9,396,2,36.75,2,1,1,211,Hibernating
7601,16053c75a44df0864ae2b9bfcc76904f,256,2,230.72,3,1,5,315,About to sleep
7602,160ac713dfef7d7f57a0f61d8a0df5b4,579,2,147.9,1,1,4,114,Hibernating
7605,160cc5a8d976cb41c7c1d059a01c8cd8,16,2,68.43,5,1,2,512,New customers
7629,161b084b1da1063f12c806260be8b0fc,280,3,84.59,3,1,3,313,About to sleep
7646,1628224972c38ec171b239f7387a1c98,283,2,102.23,3,1,3,313,About to sleep
7651,1629f51edbf454ebbe093e3b6fc63aea,81,2,55.34,5,1,2,512,New customers
7678,163d02fbf4c0a8c056d41c7a0862f596,342,2,173.88,2,1,4,214,Hibernating
7683,164073eaa0690f5b1004c5bbe77f6046,26,2,37.46,5,1,1,511,New customers
7709,165412115747b056d83956cba0e9833e,396,2,170.82,2,1,4,214,Hibernating
7736,16669daad9b68a2b8a369638223a1888,97,4,150.6,5,2,4,524,Potential loyalists
7762,1673fd6c2e11fd185ba96207a5ce7af6,271,2,67.5,3,1,2,312,About to sleep
7771,1676edf55749e467544f15922750a231,179,2,194.55,4,1,5,415,Promising
7777,1679eda7c247b174221c5f850c26e076,379,2,56.6,2,1,2,212,Hibernating
7793,1684ae14611db66fcad47175a24b643d,419,3,117.85,1,1,4,114,Hibernating
7828,169e46bb9d6c7e98ad722850e21e4c4b,260,2,141.23000000000002,3,1,4,314,About to sleep
7832,16a01fcc3eb15d1229e677d6e9c34cfc,359,2,106.06,2,1,3,213,Hibernating
7902,16cc3f64905e653b68d869cb6f63ba25,134,4,109.16,4,2,3,423,Potential loyalists
7922,16d7166c22587cf0e485684ebf444c49,410,2,105.89,2,1,3,213,Hibernating
7934,16e14c1e6e050fe6730c961ff638ca23,694,7,86.88,1,4,3,143,At risk
7956,16f5cf0023d5d11a905dabc8ffe04c02,319,2,413.74,2,1,5,215,Hibernating
7988,17113c767908a333aa231284d0a0941c,540,2,150.86,1,1,4,114,Hibernating
7995,171437bfa7315ccc0aa4c38c44d2ff92,87,2,97.35,5,1,3,513,New customers
8023,1728ec067e65bce5ecb559680e0d522f,471,2,148.34,1,1,4,114,Hibernating
8077,174ab3e10eca3720a1690756f6b9a41e,166,2,501.78999999999996,4,1,5,415,Promising
8087,17523021fe9a32dce622cb883869fa4d,223,2,117.85,3,1,4,314,About to sleep
8115,1764be73caaed8c59deaeef7793e539a,475,2,125.06,1,1,4,114,Hibernating
8119,1765ec5ce0dc49aadc66727d1939f31d,425,2,235.70000000000002,1,1,5,115,Hibernating
8339,180791a90665e8124094adce3e0b56c7,96,2,67.07,5,1,2,512,New customers
8428,1846c723a7571d53ebefb851731bfe53,42,2,146.01,5,1,4,514,New customers
8466,185f32bc42c8690bdeae6198db6c7456,223,2,71.34,3,1,2,312,About to sleep
8471,18612b0caa6abd8c64a1240be7f0c06c,91,2,43.230000000000004,5,1,1,511,New customers
8579,18ad705482141f60ad05945506ef2b9e,276,4,90.88,3,2,3,323,About to sleep
8604,18c30a4de034e640a9c6b0b08a756ae9,78,2,37.89,5,1,1,511,New customers
8624,18d0f54e66d1afa5e154eb1ae2a463c4,558,2,66.50999999999999,1,1,2,112,Hibernating
8625,18d25eff8e2e053d534e174f86443f25,110,2,125.52000000000001,4,1,4,414,Promising
8724,19164000c4f2f70911bb28eb4b20325a,419,4,72.67999999999999,1,2,2,122,Hibernating
8810,195f30dba556ad925afba1ecca917439,495,2,87.58,1,1,3,113,Hibernating
8824,1966bcc7091bfb3c656d15de1f2fec01,25,2,152.68,5,1,4,514,New customers
8826,1969139e7199fb5279310e0cb26c66c6,306,2,95.99000000000001,2,1,3,213,Hibernating
8872,198d608fdf082f8595e296bb9b8d39c3,363,2,117.79,2,1,4,214,Hibernating
8911,19aa722bdebc8edaf921d50fd35916d1,259,2,328.49,3,1,5,315,About to sleep
8926,19b718bde73bdc9cd4eeee8d034d2e1a,133,2,105.65,4,1,3,413,Promising
8962,19d189579778a415f48e0ce76f07109b,22,2,160.21,5,1,4,514,New customers
9013,19f9e4a8e8924688daf67bf32662c671,36,2,56.07,5,1,2,512,New customers
